date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-04,Home/Away (1st Set),slam,Away,K. Muchova vs N. Osaka,1.4932,0.0298,Marathon,1.44,-0.03563,true
2025-09-05,Home/Away,slam,Home,N. Djokovic vs C. Alcaraz,4.0308,0.023,bet365,4,-0.00763,false
2025-09-05,Home/Away,slam,Away,N. Djokovic vs C. Alcaraz,1.3299,0.023,Fonbet,1.3,-0.02252,true
2025-09-05,Home/Away (1st Set),slam,Home,N. Djokovic vs C. Alcaraz,2.6774,0.0298,bet365,2.75,0.02711,false
2025-09-05,Home/Away (1st Set),slam,Away,N. Djokovic vs C. Alcaraz,1.5962,0.0298,Fonbet,1.53,-0.04145,true
2025-09-05,Home/Away,slam,Home,A. Sabalenka vs J. Pegula,1.3492,0.0221,1xBet,1.31,-0.02906,true
2025-09-05,Home/Away,slam,Away,A. Sabalenka vs J. Pegula,3.8636,0.0221,Marathon,3.65,-0.05529,false
2025-09-05,Home/Away (1st Set),slam,Home,A. Sabalenka vs J. Pegula,1.4751,0.0315,Marathon,1.42,-0.03734,false
2025-09-05,Home/Away (1st Set),slam,Away,A. Sabalenka vs J. Pegula,3.1049,0.0315,bet365,3,-0.03378,true
2025-09-05,Home/Away,slam,Home,N. Osaka vs A. Anisimova,1.9598,0.0261,1xBet,2.01,0.02562,false
2025-09-05,Home/Away,slam,Away,N. Osaka vs A. Anisimova,2.0419,0.0261,Unibet,1.95,-0.045,true
2025-09-05,Home/Away (1st Set),slam,Home,N. Osaka vs A. Anisimova,1.9897,0.031,1xBet,1.91,-0.04008,true
2025-09-05,Home/Away (1st Set),slam,Away,N. Osaka vs A. Anisimova,2.0104,0.031,Betfair,2,-0.00515,false
2025-09-06,Home/Away,slam,Home,J. Sinner vs F. Auger-Aliassime,1.0633,0.0224,bwin,1.04,-0.02191,true
2025-09-06,Home/Away,slam,Away,J. Sinner vs F. Auger-Aliassime,16.7981,0.0224,bet365,17,0.01202,false
2025-09-06,Home/Away (1st Set),slam,Home,J. Sinner vs F. Auger-Aliassime,1.1814,0.0273,Marathon,1.18,-0.00117,true
2025-09-06,Home/Away (1st Set),slam,Away,J. Sinner vs F. Auger-Aliassime,6.513,0.0273,Fonbet,6.2,-0.04806,false
2025-09-06,Home/Away,slam,Home,A. Sabalenka vs A. Anisimova,1.6285,0.0242,Betway,1.6,-0.01748,true
2025-09-06,Home/Away,slam,Away,A. Sabalenka vs A. Anisimova,2.5912,0.0242,bet365,2.75,0.06129,false
2025-09-06,Home/Away (1st Set),slam,Home,A. Sabalenka vs A. Anisimova,1.6667,0.0288,Fonbet,1.65,-0.01,true
2025-09-06,Home/Away (1st Set),slam,Away,A. Sabalenka vs A. Anisimova,2.5,0.0288,188bet,2.47,-0.012,false
2025-09-06,Home/Away (1st Set),tour,Home,Y. Mansouri vs A. Cruz,1.1223,0.0392,bet365,1.1,-0.01988,true
2025-09-06,Home/Away (1st Set),tour,Away,Y. Mansouri vs A. Cruz,9.1759,0.0392,Betway,8.5,-0.07366,false
2025-09-06,Home/Away,tour,Home,V. Rodriguez vs H. Giavara,2.087,0.0435,Betfair,2,-0.04167,true
2025-09-06,Home/Away,tour,Away,V. Rodriguez vs H. Giavara,1.92,0.0435,Unibet,1.88,-0.02083,false
2025-09-06,Home/Away (1st Set),tour,Home,V. Rodriguez vs H. Giavara,2.1099,0.0445,Fonbet,1.95,-0.07578,true
2025-09-06,Home/Away (1st Set),tour,Away,V. Rodriguez vs H. Giavara,1.901,0.0445,WilliamHill,1.85,-0.02682,false
2025-09-06,Home/Away,tour,Home,A. Herrero Linana vs V. Grammatikopoulou,2.2749,0.0435,bet365,2.2,-0.0329,true
2025-09-06,Home/Away,tour,Away,A. Herrero Linana vs V. Grammatikopoulou,1.7844,0.0435,bwin,1.7,-0.0473,false
2025-09-06,Home/Away (1st Set),tour,Home,A. Herrero Linana vs V. Grammatikopoulou,2.2749,0.0435,10Bet,2.1,-0.07686,true
2025-09-06,Home/Away (1st Set),tour,Away,A. Herrero Linana vs V. Grammatikopoulou,1.7844,0.0435,Marathon,1.74,-0.02488,false
