date,match,tournament,firstSet,leg36,leg46,leg57,dutch,overround,outcomes,won
2026-05-18,M. Giron vs B. Shelton,Hamburg,3:6,4.7,8.25,13,2.4336753168376584,1.091334852320051,14,true
2026-07-06,H. Squire vs A. Guillen Meza,Trieste,7:6,8.5,7.2,17,3.1709844559585494,1.2262677095270689,14,false
2026-07-13,E. Pridankina vs G. Garcia-Perez,Iasi,6:1,26,19,34,8.298418972332016,1.2410207923170091,14,false
2026-06-15,O. Milic vs T. Faurel,Royan,4:6,8.5,6.5,17,3.0273972602739723,1.0166688731597455,14,true
2026-05-18,D. Altmaier vs R. Hijikata,Hamburg,7:5,13,9,21,4.243523316062176,1.1770034167513161,14,false
2026-07-13,L. Romero Gormaz vs Z. Kulambayeva,Iasi,6:1,13,11,21,4.641421947449768,1.2173058614823882,14,false
2026-06-15,C. Sanchez Jover vs A. Moro Canas,Royan,1:6,6.5,6.5,19,2.7752808988764044,1.073774637179873,14,false
2026-05-18,A. Eala vs O. Oliynykova,Strasbourg,6:3,8.5,7.1,14.7,3.062605723754617,1.1652776290851958,14,false
2026-06-15,F. Agamenone vs S. Napolitano,Parma,3:6,8.5,7.5,19,3.2936777702243374,1.0862618650699143,14,true
2026-05-18,M. Kessler vs J. Cristian,Strasbourg,1:6,7.5,7.5,15,3,1.1765583821028311,14,false
2026-07-20,J. Niemeier vs E. Malygina,Hamburg,6:4,8.5,8,16,3.2771084337349397,1.2179132689482344,14,false
2026-06-15,B. Gadamauri vs D. Dzumhur,Parma,6:4,6.5,6,19,2.6799276672694394,1.074514604252212,14,false
2026-05-18,D. Kasatkina vs L. Samsonova,Strasbourg,7:5,8,7.7,15.5,3.1310050828004594,1.19016600449238,14,false
2026-06-15,S. Ofner vs R. Brancaccio,Parma,6:3,9.3,8.9,22,3.7687356416996094,1.2848723188767084,14,false
2026-05-18,M. Frech vs T. Gibson,Strasbourg,7:6,7.5,7,15,2.9166666666666665,1.2085217738812628,14,false
2026-03-16,F. Gill vs F. Arnaboldi,Murcia,3:6,7,13,19,3.6709129511677285,1.3328510282786876,13,true
2026-07-20,E. Vedder vs M. Barthel,Hamburg,6:4,8,12,17,3.743119266055046,1.1419390158527127,14,false
2026-06-15,N. Sanchez Izquierdo vs L. van Assche,Parma,3:6,7.5,6.5,17,2.890148212728858,1.0895257825992815,14,true
2026-06-22,Y. Hatouka vs V. Turini,W50 Palma del Rio,1:6,8.5,8.5,17,3.4,1.1232566710894882,14,false
2026-05-18,L. Sonego vs E. Butvilas,Geneva,3:6,8,9,17.5,3.4100135317997293,1.181108521108521,14,true
2026-07-13,A. Gasanova vs S. Bandecchi,Istanbul 2 (Turkey) - Qualification,7:6,9.5,8.5,17,3.5494505494505497,1.1762771112616315,14,false
2026-07-20,A. Rus vs C. Paquet,Hamburg,1:6,9.5,8.5,17,3.5494505494505497,1.2099141686486887,14,false
2026-06-15,C. Chidekh vs C. Smith,Dublin (Ireland) - Qualification,5:7,6.1,13,17,3.3368811881188116,0.9097323532920087,14,true
2026-06-22,A. Hesse vs C. Lopez Martinez,W50 Palma del Rio,6:3,15,15,26,5.82089552238806,1.2954580649155962,14,false
2026-05-18,R. Brancaccio vs S. Wawrinka,Geneva,2:6,5.25,6.05,13.5,2.3264496439471007,1.3391599179229905,14,false
2026-04-20,A. Oktiabreva vs A. Akli,Oeiras 4 (Portugal) - Qualification,6:0,12,13,23,4.908344733242134,1.2543102388219303,14,false
2026-07-13,G. Knutson vs I. Kurt,Istanbul 2 (Turkey) - Qualification,6:4,25,21,40,8.879492600422832,1.1501283235553046,14,false
2026-07-20,E. Pridankina vs V. Brand,Hamburg,6:3,26,19,40,8.61377506538797,1.213270937104786,14,false
2026-06-15,J. P. Ficovich vs N. Mejia,Dublin (Ireland) - Qualification,4:6,8.5,8,23,3.494972067039106,1.0665870698452473,14,true
2026-06-22,L. Solar Donoso vs C. Fontenel,W50 Palma del Rio,2:6,8,8.5,17,3.3170731707317076,1.1893445198592256,14,false
2026-05-18,V. Royer vs F. Comesana,Geneva,6:2,6,7,15,2.6582278481012658,1.1667346293662082,14,false
2026-04-20,P. Kudermetova vs L. Boskovic,Oeiras 4 (Portugal) - Qualification,6:3,19,15,26,6.338751069289991,1.2366333721243532,14,false
2026-07-13,K. Okamura vs L. Tararudee,Istanbul 2 (Turkey) - Qualification,2:6,5.1,9.5,15,2.7173303421200226,1.1242151253640449,14,false
2026-07-20,J. Pieri vs M. L. Carle,Hamburg,6:0,5.8,6.8,13.2,2.5301710730948677,1.2191022495745134,14,false
2026-06-15,A. Galarneau vs F. Maestrelli,Dublin (Ireland) - Qualification,7:6,12,8,26,4.051948051948052,0.9910648113381437,14,false
2026-06-22,E. Vedder vs Z. Kardava,W50 Palma del Rio,6:1,23,19,34,7.966756032171582,1.272035602938478,14,false
